country_txt,region_txt,provstate,city,latitude,longitude,attacktype1_txt,targtype1_txt,gname,weaptype1_txt
Australia,Australasia & Oceania,Victoria,Dandenong,-37.988975,145.217452,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,Victoria,Melbourne,-37.789922,145.170775,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,Queensland,Toowoomba,-27.564238,151.947275,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,Tasmania,Hobart,-42.884049,147.323719,Facility/Infrastructure Attack,Business,Unknown,Incendiary
Australia,Australasia & Oceania,New South Wales,Sydney,-33.829658,151.117538,Bombing/Explosion,Unknown,Unknown,Explosives
Australia,Australasia & Oceania,New South Wales,Parramatta,-33.815129,151.003278,Armed Assault,Police,Jihadi-inspired extremists,Firearms
Australia,Australasia & Oceania,Victoria,Bannockburn,-38.047645,144.170032,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,New South Wales,Orange,-33.283013,149.100151,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,New South Wales,Orange,-33.283013,149.100151,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,Victoria,Norlane,-38.091417,144.357575,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,Victoria,Norlane,-38.094181,144.3571,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,Victoria,Geelong,-38.138255,144.348328,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,Victoria,Fawkner,-37.698179,144.965079,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,Victoria,Geelong,-38.133743,144.333937,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,Western Australia,Perth,-32.053696,115.960731,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,Western Australia,Perth,-31.959414,115.873955,Armed Assault,Journalists & Media,Unknown,Incendiary
Australia,Australasia & Oceania,New South Wales,Minto,-34.031804,150.850332,Armed Assault,Private Citizens & Property,Jihadi-inspired extremists,Melee
Australia,Australasia & Oceania,New South Wales,Hobbys Yards,-33.694586,149.328405,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,Victoria,Fawkner,-37.698036,144.965437,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,Victoria,Fawkner,-37.698082,144.964664,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,New South Wales,Queanbeyan,-35.349304,149.244385,Armed Assault,Business,Jihadi-inspired extremists,Melee
Australia,Australasia & Oceania,Victoria,Brighton,-37.906633,145.007628,Hostage Taking (Barricade Incident),Police,Jihadi-inspired extremists,Firearms
Australia,Australasia & Oceania,New South Wales,Sydney,-33.934491,151.179691,Bombing/Explosion,Airports & Aircraft,Islamic State of Iraq and the Levant (ISIL),Explosives
Australia,Australasia & Oceania,Victoria,Melbourne,-37.8182,144.965,Unarmed Assault,Private Citizens & Property,Muslim extremists,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)"
